node,edge,weight
BendixJerryLee,JohnstonJustin,1.25
JonesHarris,McConnellPhyllis,0.3333333333333333
JonesHarris,FlowersSteve,0.3333333333333333
JonesHarris,StevensonMike,0.3333333333333333
McConnellPhyllis,FlowersSteve,0.3333333333333333
McConnellPhyllis,StevensonMike,0.3333333333333333
FlowersSteve,StevensonMike,0.3333333333333333
BurnsMoira,CarlsonCheryl,1.0
SimpsonAdella,ThompsonTreavor,1.0
SimpsonAdella,CurtisGlenda,0.5
ThompsonTreavor,CurtisGlenda,0.5
KarstenBonnie,KarstenLinda,0.3333333333333333
KarstenBonnie,KarstenMae,0.3333333333333333
KarstenBonnie,PerryFrank,0.3333333333333333
KarstenLinda,KarstenMae,0.3333333333333333
KarstenLinda,PerryFrank,0.3333333333333333
KarstenMae,PerryFrank,0.3333333333333333
TrotterBarry,ArcherThora,0.2
TrotterBarry,Archer Jr.Dylan,0.2
TrotterBarry,ChanningBoris,0.2
TrotterBarry,CooperAndrew,0.2
TrotterBarry,PorterRoscoe,0.2
ArcherThora,Archer Jr.Dylan,0.2
ArcherThora,ChanningBoris,0.2
ArcherThora,CooperAndrew,0.2
ArcherThora,PorterRoscoe,0.2
Archer Jr.Dylan,ChanningBoris,0.2
Archer Jr.Dylan,CooperAndrew,0.2
Archer Jr.Dylan,PorterRoscoe,0.2
ChanningBoris,CooperAndrew,0.2
ChanningBoris,PorterRoscoe,0.2
CooperAndrew,PorterRoscoe,0.2
JeffersonPolly,BergerRod,1.0
CoreyAlonzo,HallDavid,0.5
CoreyAlonzo,KirklandOwen,0.5
HallDavid,KirklandOwen,0.5
MinionMaggie,CarterCalvin,1.0
MinionMaggie,CaronMolly,1.0
AlexanderNolan,DoranLatonya,1.0909090909090908
AlexanderNolan,ClaggartMary,0.09090909090909091
AlexanderNolan,GunnersonLyndon,0.09090909090909091
AlexanderNolan,CollinsAdrienne,0.09090909090909091
AlexanderNolan,HarriganKieran,0.09090909090909091
AlexanderNolan,KillianGeorge,0.09090909090909091
AlexanderNolan,BlodgettLucas,0.09090909090909091
AlexanderNolan,BlodgettFaith,0.09090909090909091
AlexanderNolan,ChandlerMonica,0.09090909090909091
AlexanderNolan,DoranEllie,0.09090909090909091
AlexanderNolan,GunnersonPaul,0.09090909090909091
DoranLatonya,ClaggartMary,0.09090909090909091
DoranLatonya,GunnersonLyndon,0.09090909090909091
DoranLatonya,CollinsAdrienne,0.09090909090909091
DoranLatonya,HarriganKieran,0.09090909090909091
DoranLatonya,KillianGeorge,0.09090909090909091
DoranLatonya,BlodgettLucas,0.09090909090909091
DoranLatonya,BlodgettFaith,0.09090909090909091
DoranLatonya,ChandlerMonica,0.09090909090909091
DoranLatonya,DoranEllie,0.09090909090909091
DoranLatonya,GunnersonPaul,0.09090909090909091
ClaggartMary,GunnersonLyndon,0.09090909090909091
ClaggartMary,CollinsAdrienne,0.09090909090909091
ClaggartMary,HarriganKieran,0.09090909090909091
ClaggartMary,KillianGeorge,0.09090909090909091
ClaggartMary,BlodgettLucas,0.09090909090909091
ClaggartMary,BlodgettFaith,0.09090909090909091
ClaggartMary,ChandlerMonica,0.09090909090909091
ClaggartMary,DoranEllie,0.09090909090909091
ClaggartMary,GunnersonPaul,0.09090909090909091
GunnersonLyndon,CollinsAdrienne,0.09090909090909091
GunnersonLyndon,HarriganKieran,0.09090909090909091
GunnersonLyndon,KillianGeorge,0.09090909090909091
GunnersonLyndon,BlodgettLucas,0.09090909090909091
GunnersonLyndon,BlodgettFaith,0.09090909090909091
GunnersonLyndon,ChandlerMonica,0.09090909090909091
GunnersonLyndon,DoranEllie,0.09090909090909091
GunnersonLyndon,GunnersonPaul,0.09090909090909091
CollinsAdrienne,HarriganKieran,0.09090909090909091
CollinsAdrienne,KillianGeorge,0.09090909090909091
CollinsAdrienne,BlodgettLucas,0.09090909090909091
CollinsAdrienne,BlodgettFaith,0.09090909090909091
CollinsAdrienne,ChandlerMonica,0.09090909090909091
CollinsAdrienne,DoranEllie,0.09090909090909091
CollinsAdrienne,GunnersonPaul,0.09090909090909091
HarriganKieran,KillianGeorge,0.09090909090909091
HarriganKieran,BlodgettLucas,0.09090909090909091
HarriganKieran,BlodgettFaith,0.09090909090909091
HarriganKieran,ChandlerMonica,0.09090909090909091
HarriganKieran,DoranEllie,0.09090909090909091
HarriganKieran,GunnersonPaul,0.09090909090909091
KillianGeorge,BlodgettLucas,0.09090909090909091
KillianGeorge,BlodgettFaith,0.09090909090909091
KillianGeorge,ChandlerMonica,0.09090909090909091
KillianGeorge,DoranEllie,0.09090909090909091
KillianGeorge,GunnersonPaul,0.09090909090909091
BlodgettLucas,BlodgettFaith,0.09090909090909091
BlodgettLucas,ChandlerMonica,0.09090909090909091
BlodgettLucas,DoranEllie,0.09090909090909091
BlodgettLucas,GunnersonPaul,0.09090909090909091
BlodgettFaith,ChandlerMonica,0.09090909090909091
BlodgettFaith,DoranEllie,0.09090909090909091
BlodgettFaith,GunnersonPaul,0.09090909090909091
ChandlerMonica,DoranEllie,0.09090909090909091
ChandlerMonica,GunnersonPaul,0.09090909090909091
DoranEllie,GunnersonPaul,0.09090909090909091
StevensRico,BerberPhilippe,1.0
HarrisonAnnie,SnyderBill,2.5
SwiftMaurice,WhitesideAlbert,1.0
TaylorBecky,IvyRenata,0.5
TaylorBecky,YatesAugust,0.5
IvyRenata,YatesAugust,0.5
CantwellFelecia,CantwellSylvester,1.0
BeckerToby,BinderErrol,0.8333333333333333
BeckerToby,BuffetteRachel,0.3333333333333333
BeckerToby,MayCharlie,0.3333333333333333
BinderErrol,BuffetteRachel,0.3333333333333333
BinderErrol,MayCharlie,0.3333333333333333
BuffetteRachel,MayCharlie,0.8333333333333333
BridgesHilda,CasperSheila,0.07142857142857142
BridgesHilda,DerbyTammy,0.07142857142857142
BridgesHilda,JamesRicardo,0.07142857142857142
BridgesHilda,JenkinsJill,0.07142857142857142
BridgesHilda,LockePamela,0.07142857142857142
BridgesHilda,LongDanny,0.07142857142857142
BridgesHilda,MadisonDennis,0.07142857142857142
BridgesHilda,MaguireRaymond,0.07142857142857142
BridgesHilda,O'BrienJeff,0.07142857142857142
BridgesHilda,SorrellKeith,0.07142857142857142
BridgesHilda,SpeckVictoria,0.07142857142857142
BridgesHilda,SuffolkNicole,0.07142857142857142
BridgesHilda,TillieNigel,0.07142857142857142
BridgesHilda,WilsonShirley,0.07142857142857142
CasperSheila,DerbyTammy,0.07142857142857142
CasperSheila,JamesRicardo,0.07142857142857142
CasperSheila,JenkinsJill,0.07142857142857142
CasperSheila,LockePamela,0.07142857142857142
CasperSheila,LongDanny,0.07142857142857142
CasperSheila,MadisonDennis,0.07142857142857142
CasperSheila,MaguireRaymond,0.07142857142857142
CasperSheila,O'BrienJeff,0.07142857142857142
CasperSheila,SorrellKeith,0.07142857142857142
CasperSheila,SpeckVictoria,0.07142857142857142
CasperSheila,SuffolkNicole,0.07142857142857142
CasperSheila,TillieNigel,0.07142857142857142
CasperSheila,WilsonShirley,0.07142857142857142
DerbyTammy,JamesRicardo,0.07142857142857142
DerbyTammy,JenkinsJill,0.07142857142857142
DerbyTammy,LockePamela,0.07142857142857142
DerbyTammy,LongDanny,0.07142857142857142
DerbyTammy,MadisonDennis,0.07142857142857142
DerbyTammy,MaguireRaymond,0.07142857142857142
DerbyTammy,O'BrienJeff,0.07142857142857142
DerbyTammy,SorrellKeith,0.07142857142857142
DerbyTammy,SpeckVictoria,0.07142857142857142
DerbyTammy,SuffolkNicole,0.07142857142857142
DerbyTammy,TillieNigel,0.07142857142857142
DerbyTammy,WilsonShirley,0.07142857142857142
JamesRicardo,JenkinsJill,0.07142857142857142
JamesRicardo,LockePamela,0.07142857142857142
JamesRicardo,LongDanny,0.07142857142857142
JamesRicardo,MadisonDennis,0.07142857142857142
JamesRicardo,MaguireRaymond,0.07142857142857142
JamesRicardo,O'BrienJeff,0.07142857142857142
JamesRicardo,SorrellKeith,0.07142857142857142
JamesRicardo,SpeckVictoria,0.07142857142857142
JamesRicardo,SuffolkNicole,0.07142857142857142
JamesRicardo,TillieNigel,0.07142857142857142
JamesRicardo,WilsonShirley,0.07142857142857142
JenkinsJill,LockePamela,0.07142857142857142
JenkinsJill,LongDanny,0.07142857142857142
JenkinsJill,MadisonDennis,0.07142857142857142
JenkinsJill,MaguireRaymond,0.07142857142857142
JenkinsJill,O'BrienJeff,0.07142857142857142
JenkinsJill,SorrellKeith,0.07142857142857142
JenkinsJill,SpeckVictoria,0.07142857142857142
JenkinsJill,SuffolkNicole,0.07142857142857142
JenkinsJill,TillieNigel,0.07142857142857142
JenkinsJill,WilsonShirley,0.07142857142857142
LockePamela,LongDanny,0.07142857142857142
LockePamela,MadisonDennis,0.07142857142857142
LockePamela,MaguireRaymond,0.07142857142857142
LockePamela,O'BrienJeff,0.07142857142857142
LockePamela,SorrellKeith,0.07142857142857142
LockePamela,SpeckVictoria,0.07142857142857142
LockePamela,SuffolkNicole,0.07142857142857142
LockePamela,TillieNigel,0.07142857142857142
LockePamela,WilsonShirley,0.07142857142857142
LongDanny,MadisonDennis,0.07142857142857142
LongDanny,MaguireRaymond,0.07142857142857142
LongDanny,O'BrienJeff,0.07142857142857142
LongDanny,SorrellKeith,0.07142857142857142
LongDanny,SpeckVictoria,0.07142857142857142
LongDanny,SuffolkNicole,0.07142857142857142
LongDanny,TillieNigel,0.07142857142857142
LongDanny,WilsonShirley,0.07142857142857142
MadisonDennis,MaguireRaymond,0.07142857142857142
MadisonDennis,O'BrienJeff,0.07142857142857142
MadisonDennis,SorrellKeith,0.07142857142857142
MadisonDennis,SpeckVictoria,0.07142857142857142
MadisonDennis,SuffolkNicole,0.07142857142857142
MadisonDennis,TillieNigel,0.07142857142857142
MadisonDennis,WilsonShirley,0.07142857142857142
MaguireRaymond,O'BrienJeff,0.07142857142857142
MaguireRaymond,SorrellKeith,0.07142857142857142
MaguireRaymond,SpeckVictoria,0.07142857142857142
MaguireRaymond,SuffolkNicole,0.07142857142857142
MaguireRaymond,TillieNigel,0.07142857142857142
MaguireRaymond,WilsonShirley,0.07142857142857142
O'BrienJeff,SorrellKeith,0.07142857142857142
O'BrienJeff,SpeckVictoria,0.07142857142857142
O'BrienJeff,SuffolkNicole,0.07142857142857142
O'BrienJeff,TillieNigel,0.07142857142857142
O'BrienJeff,WilsonShirley,0.07142857142857142
SorrellKeith,SpeckVictoria,0.07142857142857142
SorrellKeith,SuffolkNicole,0.07142857142857142
SorrellKeith,TillieNigel,0.07142857142857142
SorrellKeith,WilsonShirley,0.07142857142857142
SpeckVictoria,SuffolkNicole,0.07142857142857142
SpeckVictoria,TillieNigel,0.07142857142857142
SpeckVictoria,WilsonShirley,0.07142857142857142
SuffolkNicole,TillieNigel,0.07142857142857142
SuffolkNicole,WilsonShirley,0.07142857142857142
TillieNigel,WilsonShirley,0.07142857142857142
SnyderBill,SpitzLouis,0.5
SnyderBill,MooreTerry,0.5
SpitzLouis,MooreTerry,0.5
JonesHarris,HolleyBuster,0.3333333333333333
JonesHarris,LawrenceRobbie,0.3333333333333333
JonesHarris,LucasCalvin,0.3333333333333333
HolleyBuster,LawrenceRobbie,0.3333333333333333
HolleyBuster,LucasCalvin,0.3333333333333333
LawrenceRobbie,LucasCalvin,0.3333333333333333
CanelliTony,PaulsonRichard,1.0
CheathamBarry,ConrackCarol,1.0
TowerMelissa,WhiteAndrew,2.0
GeorgeBuster,ThomasEddie,1.0
MarshakWayne,ParkerSebastian,1.0
MarshakWayne,VestHiroko,0.5
ParkerSebastian,VestHiroko,0.5588235294117647
BrowningCalder,GarnerMickey,0.3333333333333333
BrowningCalder,PhillipsSam,0.3333333333333333
BrowningCalder,WilsonLuke,0.3333333333333333
GarnerMickey,PhillipsSam,0.3333333333333333
GarnerMickey,WilsonLuke,0.3333333333333333
PhillipsSam,WilsonLuke,0.3333333333333333
DouglasCollin,GreenByron,0.3333333333333333
DouglasCollin,PowellGeorge,0.3333333333333333
DouglasCollin,SandersonKatie,0.3333333333333333
GreenByron,PowellGeorge,0.3333333333333333
GreenByron,SandersonKatie,0.3333333333333333
PowellGeorge,SandersonKatie,0.3333333333333333
HumphreyAlex,BrillEzekial,1.0
